Date,Open,High,Low,Close,Adj Close,Volume
1985-09-04,2.937500,2.960938,2.929688,2.953125,1.226037,4188800
1985-09-05,2.953125,2.992188,2.945313,2.976563,1.235767,6176000
1985-09-06,2.992188,3.000000,2.976563,2.992188,1.242254,6606400
1985-09-09,2.992188,2.992188,2.945313,2.945313,1.222793,3150400
1985-09-10,2.953125,2.960938,2.867188,2.875000,1.193602,2841600
1985-09-11,2.859375,2.898438,2.851563,2.859375,1.187115,4108800
1985-09-12,2.859375,2.890625,2.851563,2.867188,1.190359,2297600
1985-09-13,2.859375,2.867188,2.789063,2.812500,1.167653,7852800
1985-09-16,2.812500,2.812500,2.671875,2.687500,1.115759,13984000
1985-09-17,2.710938,2.757813,2.703125,2.718750,1.128732,9288000
1985-09-18,2.726563,2.750000,2.718750,2.750000,1.141706,7700800
1985-09-19,2.765625,2.859375,2.757813,2.859375,1.187115,7672000
1985-09-20,2.859375,2.867188,2.781250,2.781250,1.154680,4710400
1985-09-23,2.875000,2.882813,2.843750,2.859375,1.187115,8142400
1985-09-24,2.859375,2.875000,2.789063,2.796875,1.161167,6292800
1985-09-25,2.789063,2.796875,2.750000,2.765625,1.148194,2876800
1985-09-26,2.750000,2.789063,2.742188,2.773438,1.151437,5192000
1985-09-30,2.796875,2.796875,2.765625,2.773438,1.151437,3742400
1985-10-01,2.765625,2.812500,2.742188,2.804688,1.164411,5467200
1985-10-02,2.820313,2.835938,2.703125,2.710938,1.125490,9564800
1985-10-03,2.710938,2.781250,2.710938,2.781250,1.154680,6105600
1985-10-04,2.773438,2.781250,2.726563,2.742188,1.138463,7361600
1985-10-07,2.742188,2.742188,2.695313,2.710938,1.125490,6244800
1985-10-08,2.703125,2.734375,2.695313,2.710938,1.125490,2659200
1985-10-09,2.718750,2.757813,2.710938,2.718750,1.128732,5342400
1985-10-10,2.718750,2.734375,2.710938,2.734375,1.135220,1472000
1985-10-11,2.726563,2.789063,2.726563,2.781250,1.154680,3931200
1985-10-14,2.781250,2.828125,2.773438,2.820313,1.170898,2355200
1985-10-15,2.828125,2.851563,2.796875,2.812500,1.167653,5380800
1985-10-16,2.820313,2.859375,2.812500,2.851563,1.183872,7308800
1985-10-17,2.851563,2.929688,2.851563,2.906250,1.206576,10320000
1985-10-18,2.890625,2.914063,2.890625,2.898438,1.203332,5955200
1985-10-21,2.906250,2.906250,2.875000,2.882813,1.196846,2060800
1985-10-22,2.875000,2.898438,2.859375,2.882813,1.196846,2803200
1985-10-23,2.882813,2.882813,2.828125,2.867188,1.190359,3750400
1985-10-24,2.875000,2.914063,2.875000,2.875000,1.193602,10032000
1985-10-25,2.882813,2.921875,2.882813,2.906250,1.206576,4284800
1985-10-28,2.906250,2.921875,2.898438,2.906250,1.206576,2902400
1985-10-29,2.914063,2.945313,2.914063,2.914063,1.209819,7019200
1985-10-30,2.929688,2.984375,2.914063,2.984375,1.239010,10211200
1985-10-31,2.984375,2.984375,2.921875,2.937500,1.219550,6396800
1985-11-01,2.929688,2.984375,2.929688,2.984375,1.239010,7593600
1985-11-04,2.984375,3.000000,2.960938,2.960938,1.229280,6801600
1985-11-05,2.968750,2.984375,2.960938,2.968750,1.232524,14512000
1985-11-06,2.984375,3.023438,2.976563,3.015625,1.251984,16160000
1985-11-07,3.015625,3.015625,2.984375,3.007813,1.248741,8500800
1985-11-08,3.000000,3.039063,2.992188,3.015625,1.251984,5145600
1985-11-11,3.023438,3.062500,3.015625,3.062500,1.271446,8241600
1985-11-12,3.062500,3.117188,3.054688,3.101563,1.287663,18880000
1985-11-13,3.085938,3.109375,3.054688,3.101563,1.287663,12995200
1985-11-14,3.101563,3.140625,3.093750,3.132813,1.300637,12259200
1985-11-15,3.125000,3.132813,3.093750,3.109375,1.290907,12468800
1985-11-18,3.125000,3.140625,3.093750,3.125000,1.305925,11136000
1985-11-19,3.140625,3.148438,3.101563,3.117188,1.302660,4286400
1985-11-20,3.109375,3.125000,3.093750,3.125000,1.305925,6704000
1985-11-21,3.140625,3.164063,3.062500,3.062500,1.279806,14163200
1985-11-22,3.062500,3.062500,2.976563,2.976563,1.243894,30848000
1985-11-25,2.968750,2.976563,2.914063,2.937500,1.227569,11504000
1985-11-26,2.953125,3.023438,2.953125,3.015625,1.260217,8929600
1985-11-27,3.015625,3.132813,3.000000,3.101563,1.296130,9521600
1985-11-29,3.117188,3.125000,3.054688,3.117188,1.302660,3694400
1985-12-02,3.101563,3.109375,3.062500,3.085938,1.289601,4643200
1985-12-03,3.070313,3.093750,3.062500,3.078125,1.286336,2936000
1985-12-04,3.062500,3.078125,3.015625,3.062500,1.279806,15649600
1985-12-05,3.070313,3.148438,3.062500,3.125000,1.305925,24768000
1985-12-06,3.101563,3.117188,3.078125,3.109375,1.299395,5636800
1985-12-09,3.117188,3.164063,3.117188,3.164063,1.322250,8024000
1985-12-10,3.156250,3.187500,3.132813,3.164063,1.322250,9427200
1985-12-11,3.164063,3.195313,3.148438,3.179688,1.328779,9067200
1985-12-12,3.195313,3.273438,3.195313,3.250000,1.358162,12702400
1985-12-13,3.273438,3.382813,3.257813,3.335938,1.394075,13984000
1985-12-16,3.335938,3.437500,3.304688,3.421875,1.429988,9078400
1985-12-17,3.429688,3.453125,3.351563,3.367188,1.407135,9672000
1985-12-18,3.359375,3.367188,3.250000,3.273438,1.367957,9604800
1985-12-19,3.265625,3.335938,3.265625,3.320313,1.387546,5539200
1985-12-20,3.296875,3.367188,3.281250,3.281250,1.371222,9369600
1985-12-23,3.289063,3.296875,3.218750,3.265625,1.364692,4908800
1985-12-24,3.257813,3.281250,3.226563,3.242188,1.354897,3619200
1985-12-26,3.257813,3.281250,3.218750,3.242188,1.354897,2614400
1985-12-27,3.257813,3.281250,3.250000,3.265625,1.364692,3870400
1985-12-30,3.312500,3.312500,3.250000,3.289063,1.374486,4001600
1985-12-31,3.296875,3.304688,3.273438,3.289063,1.374486,2764800
1986-01-02,3.281250,3.281250,3.234375,3.242188,1.354897,3331200
1986-01-03,3.234375,3.250000,3.218750,3.250000,1.358162,4051200
1986-01-06,3.250000,3.257813,3.226563,3.242188,1.354897,2403200
1986-01-07,3.257813,3.304688,3.250000,3.296875,1.377750,7350400
1986-01-08,3.312500,3.312500,3.218750,3.226563,1.348368,6348800
1986-01-09,3.187500,3.226563,3.117188,3.171875,1.325514,12763200
1986-01-10,3.187500,3.210938,3.156250,3.187500,1.332043,5996800
1986-01-13,3.171875,3.226563,3.164063,3.226563,1.348368,4760000
1986-01-14,3.242188,3.242188,3.210938,3.242188,1.354897,3760000
1986-01-15,3.234375,3.234375,3.195313,3.195313,1.335309,6379200
1986-01-16,3.210938,3.218750,3.093750,3.187500,1.332043,8044800
1986-01-17,3.187500,3.210938,3.140625,3.164063,1.322250,8678400
1986-01-20,3.171875,3.226563,3.156250,3.218750,1.345102,6088000
1986-01-21,3.226563,3.250000,3.164063,3.187500,1.332043,3630400
1986-01-22,3.156250,3.179688,3.109375,3.109375,1.299395,3654400
1986-01-23,3.093750,3.156250,3.085938,3.148438,1.315719,4627200
1986-01-24,3.156250,3.164063,3.078125,3.125000,1.305925,9916800
1986-01-27,3.148438,3.156250,3.109375,3.132813,1.309190,5054400
1986-01-28,3.125000,3.250000,3.125000,3.242188,1.354897,5124800
1986-01-29,3.250000,3.304688,3.210938,3.218750,1.345102,7275200
1986-01-30,3.234375,3.328125,3.218750,3.304688,1.381016,7804800
1986-01-31,3.312500,3.375000,3.304688,3.359375,1.403869,5491200
1986-02-03,3.359375,3.406250,3.335938,3.390625,1.416928,7785600
1986-02-04,3.398438,3.406250,3.312500,3.375000,1.410399,5118400
1986-02-05,3.375000,3.429688,3.367188,3.406250,1.423458,6404800
1986-02-06,3.421875,3.437500,3.351563,3.429688,1.433253,7227200
1986-02-07,3.375000,3.398438,3.312500,3.343750,1.397340,13936000
1986-02-10,3.351563,3.359375,3.218750,3.234375,1.351632,6936000
1986-02-11,3.046875,3.187500,3.000000,3.164063,1.322250,67872000
1986-02-12,3.179688,3.203125,3.093750,3.125000,1.305925,25072000
1986-02-13,3.140625,3.289063,3.132813,3.234375,1.351632,32256000
1986-02-14,2.937500,3.062500,2.859375,2.984375,1.247158,144672000
1986-02-18,2.953125,3.093750,2.953125,3.070313,1.283071,76464000
1986-02-19,3.062500,3.062500,2.984375,3.000000,1.253688,34128000
1986-02-20,2.992188,3.078125,2.984375,3.007813,1.256953,17600000
1986-02-21,3.023438,3.078125,3.000000,3.062500,1.279806,35008000
1986-02-24,3.109375,3.125000,3.039063,3.109375,1.308072,17440000
1986-02-25,3.125000,3.125000,3.062500,3.085938,1.298212,14552000
1986-02-26,3.046875,3.054688,2.992188,3.031250,1.275205,19840000
1986-02-27,3.062500,3.109375,3.031250,3.093750,1.301498,19200000
1986-02-28,3.156250,3.156250,3.093750,3.109375,1.308072,24960000
1986-03-03,3.117188,3.117188,3.078125,3.093750,1.301498,9900800
1986-03-04,3.117188,3.132813,3.078125,3.093750,1.301498,14750400
1986-03-05,3.046875,3.085938,3.007813,3.070313,1.291638,12078400
1986-03-06,3.093750,3.101563,3.046875,3.070313,1.291638,9177600
1986-03-07,3.085938,3.117188,3.054688,3.101563,1.304784,16000000
1986-03-10,3.093750,3.156250,3.093750,3.140625,1.321217,12057600
1986-03-11,3.140625,3.250000,3.140625,3.234375,1.360657,14345600
1986-03-12,3.242188,3.265625,3.210938,3.218750,1.354084,11384000
1986-03-13,3.187500,3.312500,3.187500,3.281250,1.380378,14750400
1986-03-14,3.281250,3.375000,3.273438,3.375000,1.419816,18240000
1986-03-17,3.343750,3.375000,3.296875,3.335938,1.403383,8993600
1986-03-18,3.312500,3.343750,3.304688,3.312500,1.393524,9144000
1986-03-19,3.328125,3.343750,3.312500,3.328125,1.400097,8240000
1986-03-20,3.343750,3.375000,3.335938,3.375000,1.419816,9801600
1986-03-21,3.421875,3.468750,3.375000,3.390625,1.426389,35568000
1986-03-24,3.421875,3.453125,3.414063,3.445313,1.449396,11912000
1986-03-25,3.445313,3.507813,3.429688,3.500000,1.472402,20000000
1986-03-26,3.500000,3.562500,3.476563,3.562500,1.498695,12784000
1986-03-27,3.625000,3.656250,3.578125,3.578125,1.505268,15667200
